court,court_name,year,portal_total,raw_json,raw_pdf,metadata_index,data_index,parquet_rows,portal_minus_raw_json,portal_minus_raw_pdf,portal_minus_data_index,portal_minus_parquet,raw_json_minus_parquet,raw_pdf_minus_data_index,first_page_rows,session_expire_events,api_error_events,chunk_errors,error
10_8,Patna High Court,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
10_8,Patna High Court,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
10_8,Patna High Court,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10_8,Patna High Court,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10_8,Patna High Court,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
10_8,Patna High Court,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
10_8,Patna High Court,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10_8,Patna High Court,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
10_8,Patna High Court,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
10_8,Patna High Court,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
10_8,Patna High Court,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10_8,Patna High Court,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10_8,Patna High Court,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
10_8,Patna High Court,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
10_8,Patna High Court,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10_8,Patna High Court,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
10_8,Patna High Court,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10_8,Patna High Court,1967,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,
10_8,Patna High Court,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10_8,Patna High Court,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
10_8,Patna High Court,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10_8,Patna High Court,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10_8,Patna High Court,1972,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,
10_8,Patna High Court,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
