repo_court_code,s3_court_code,repo_court_name,portal_high_court_code,portal_high_court_name,portal_bench_code,portal_bench_name,case_type_option_value,case_type_option_raw,case_type_option_label,title_prefix_candidate,case_type_description_candidate
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,90,A227(MATTERS UNDER ARTICLE 227)-90,A227(MATTERS UNDER ARTICLE 227),A227,MATTERS UNDER ARTICLE 227
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,106,A228(MATTERS UNDER ARTICLE 228)-106,A228(MATTERS UNDER ARTICLE 228),A228,MATTERS UNDER ARTICLE 228
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,123,A340(Crl. Misc. APPLICATION U/s 340 Cr.P.C.)-123,A340(Crl. Misc. APPLICATION U/s 340 Cr.P.C.),A340,Crl. Misc. APPLICATION U/s 340 Cr.P.C.
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,102,A372(CRL. MISC. APPLICATION U/S 372)-102,A372(CRL. MISC. APPLICATION U/S 372),A372,CRL. MISC. APPLICATION U/S 372
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,103,A372D(CRL. MISC. APPLICATION U/S 372 DEFECTIVE)-103,A372D(CRL. MISC. APPLICATION U/S 372 DEFECTIVE),A372D,CRL. MISC. APPLICATION U/S 372 DEFECTIVE
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,15,A378(CRL. MISC. APPLICATION U/S 378)-15,A378(CRL. MISC. APPLICATION U/S 378),A378,CRL. MISC. APPLICATION U/S 378
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,38,A378D(CRL. MISC. APPLICATION U/s 378 DEFECTIVE)-38,A378D(CRL. MISC. APPLICATION U/s 378 DEFECTIVE),A378D,CRL. MISC. APPLICATION U/s 378 DEFECTIVE
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,112,A389(Crl. Misc. Application U/s 389(2))-112,A389(Crl. Misc. Application U/s 389(2)),A389,Crl. Misc. Application U/s 389(2)
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,17,A482(APPLICATION U/s 482)-17,A482(APPLICATION U/s 482),A482,APPLICATION U/s 482
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,121,A483(APPLICATION U/s 483)-121,A483(APPLICATION U/s 483),A483,APPLICATION U/s 483
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,127,ABAIL(CRIMINAL MISC ANTICIPATORY BAIL APPLICATION U/S 438 Cr.P.C.)-127,ABAIL(CRIMINAL MISC ANTICIPATORY BAIL APPLICATION U/S 438 Cr.P.C.),ABAIL,CRIMINAL MISC ANTICIPATORY BAIL APPLICATION U/S 438 Cr.P.C.
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,137,ABAILC(CRIMINAL MISC ANTICIPATORY BAIL CANCELLATION APPLICATION)-137,ABAILC(CRIMINAL MISC ANTICIPATORY BAIL CANCELLATION APPLICATION),ABAILC,CRIMINAL MISC ANTICIPATORY BAIL CANCELLATION APPLICATION
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,50,AMAL(AMALGAMATION ORDER)-50,AMAL(AMALGAMATION ORDER),AMAL,AMALGAMATION ORDER
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,89,APPL(APPL.)-89,APPL(APPL.),APPL,APPL.
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,40,ARBT(CIVIL MISC. ARBITRATION APPLICATION)-40,ARBT(CIVIL MISC. ARBITRATION APPLICATION),ARBT,CIVIL MISC. ARBITRATION APPLICATION
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,41,ARCO(ARBITRATION and CONCILI. APPL.U/s11(4))-41,ARCO(ARBITRATION and CONCILI. APPL.U/s11(4)),ARCO,ARBITRATION and CONCILI. APPL.U/s11(4)
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,124,ARPL(APPEAL UNDER SECTION 37 OF ARBITRATION AND CONCILIATION ACT 1996)-124,ARPL(APPEAL UNDER SECTION 37 OF ARBITRATION AND CONCILIATION ACT 1996),ARPL,APPEAL UNDER SECTION 37 OF ARBITRATION AND CONCILIATION ACT 1996
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,126,ARPLD(APPEAL UNDER SECTION 37 OF ARBITRATION AND CONCILIATION ACT 1996 DEFECTIVE)-126,ARPLD(APPEAL UNDER SECTION 37 OF ARBITRATION AND CONCILIATION ACT 1996 DEFECTIVE),ARPLD,APPEAL UNDER SECTION 37 OF ARBITRATION AND CONCILIATION ACT 1996 DEFECTIVE
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,16,BAIL(CRIMINAL MISC. BAIL APPLICATION)-16,BAIL(CRIMINAL MISC. BAIL APPLICATION),BAIL,CRIMINAL MISC. BAIL APPLICATION
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,107,BAILC(CRIMINAL MISC. BAIL CANCELLATION APPL.)-107,BAILC(CRIMINAL MISC. BAIL CANCELLATION APPL.),BAILC,CRIMINAL MISC. BAIL CANCELLATION APPL.
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,151,C14A1(Appeal against acquittal in SC/ST Act)-151,C14A1(Appeal against acquittal in SC/ST Act),C14A1,Appeal against acquittal in SC/ST Act
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,152,C14A1D(Appeal against acquittal in SC/ST Act defective)-152,C14A1D(Appeal against acquittal in SC/ST Act defective),C14A1D,Appeal against acquittal in SC/ST Act defective
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,100,C372(CRIMINAL APPEAL U/S 372 Cr.PC.)-100,C372(CRIMINAL APPEAL U/S 372 Cr.PC.),C372,CRIMINAL APPEAL U/S 372 Cr.PC.
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,101,C372D(CRIMINAL APPEAL U/S 372 Cr.PC DEFECTIVE)-101,C372D(CRIMINAL APPEAL U/S 372 Cr.PC DEFECTIVE),C372D,CRIMINAL APPEAL U/S 372 Cr.PC DEFECTIVE
9~13,9_13,Allahabad High Court,13,Allahabad High Court,1,Allahabad High Court,108,C378(CRIMINAL APPEAL U/S 378 CR.PC.)-108,C378(CRIMINAL APPEAL U/S 378 CR.PC.),C378,CRIMINAL APPEAL U/S 378 CR.PC.
